observation_date,GBRPPDMMINMEI
1995-06-01,74.19114281761730
1995-07-01,74.35419991878609
1995-08-01,74.51725781302260
1995-09-01,74.59878676014090
1995-10-01,74.68031491419140
1995-11-01,74.59878676014090
1995-12-01,75.25101595788379
1996-01-01,75.65865990040740
1996-02-01,75.50004635763921
1996-03-01,75.65865990040740
1996-04-01,75.97588698594360
1996-05-01,75.97588698594360
1996-06-01,75.57935312902330
1996-07-01,75.26212604348700
1996-08-01,75.42073958625510
1996-09-01,75.73796667179140
1996-10-01,75.81727344317549
1996-11-01,75.65865990040740
1996-12-01,75.42073958625510
1997-01-01,75.50004635763921
1997-02-01,75.10351250071879
1997-03-01,74.86559218656660
1997-04-01,74.86559218656660
1997-05-01,74.86559218656660
1997-06-01,74.38975155826220
1997-07-01,74.15183124410990
1997-08-01,74.23113801549400
1997-09-01,74.46905832964620
1997-10-01,74.38975155826220
1997-11-01,74.31044478687809
1997-12-01,74.07252447272590
1998-01-01,73.83460415857360
1998-02-01,73.51737707303739
1998-03-01,73.35876353026920
1998-04-01,73.27945675888510
1998-05-01,73.27945675888510
1998-06-01,73.20014998750111
1998-07-01,73.12084321611700
1998-08-01,73.04153644473290
1998-09-01,72.80361613058071
1998-10-01,72.72430935919660
1998-11-01,72.56569581642840
1998-12-01,72.24846873089210
1999-01-01,72.16916195950810
1999-02-01,72.32777550227620
1999-03-01,72.40708227366029
1999-04-01,72.72430935919660
1999-05-01,72.72430935919660
1999-06-01,72.64500258781250
1999-07-01,72.96222967334880
1999-08-01,73.12084321611700
1999-09-01,73.35876353026920
1999-10-01,73.43807030165330
1999-11-01,73.43807030165330
1999-12-01,73.67599061580550
2000-01-01,73.75529738718960
2000-02-01,73.75529738718960
2000-03-01,73.83460415857360
2000-04-01,73.83460415857360
2000-05-01,73.83460415857360
2000-06-01,74.46905832964620
2000-07-01,74.62767187241440
2000-08-01,74.31044478687809
2000-09-01,74.62767187241440
2000-10-01,75.02420572933480
2000-11-01,75.10351250071879
2000-12-01,74.70697864379849
2001-01-01,73.91391092995769
2001-02-01,73.59668384442141
2001-03-01,73.83460415857360
2001-04-01,74.07252447272590
