date,infl_rate,ppi,gdp_pct_change,int_3m,cons_conf,unm_rate
2019-09-01,0.0015388460997671771,198.4,1.4918867416103376,2.03,100.9092,3.5
2019-10-01,0.0028272822992627678,198.6,0.994816497968376,1.88,101.1078,3.6
2019-11-01,0.00281542260504386,199.0,0.994816497968376,1.77,101.3707,3.6
2019-12-01,0.0029122185210892493,199.0,0.994816497968376,1.76,101.5937,3.6
2020-01-01,0.0019216641534238743,199.3,-0.937208618325347,1.65,101.5921,3.6
2020-02-01,0.0004746707213065804,196.7,-0.937208618325347,1.59,101.1732,3.5
2020-03-01,-0.004528447444551498,193.1,-0.937208618325347,1.35,100.1966,4.4
2020-04-01,-0.007920147553434065,185.5,-8.248533194352248,1.35,99.13439,14.8
2020-05-01,-0.0008983252093487382,188.6,-8.248533194352248,0.17,98.6451,13.2
2020-06-01,0.004847499237691677,191.2,-8.248533194352248,0.2,98.59637,11.0
2020-07-01,0.005096443382793581,193.0,8.77385524997587,0.18,98.6133,10.2
2020-08-01,0.003731343283582156,194.3,8.77385524997587,0.15,98.81078,8.4
2020-09-01,0.002626139536318739,195.5,8.77385524997587,0.13,99.11648,7.8
2020-10-01,0.001238475828567287,196.5,1.7718420824115677,0.12,99.26201,6.9
2020-11-01,0.002274132890799363,198.3,1.7718420824115677,0.16,99.21984,6.7
2020-12-01,0.004346309661148906,200.5,1.7718420824115677,0.17,99.22284,6.7
2021-01-01,0.00226678623900467,204.8,2.664516780661108,0.14,99.2288,6.4
2021-02-01,0.003556212139095738,210.6,2.664516780661108,0.11,99.36539,6.2
2021-03-01,0.004833575517978028,215.0,2.664516780661108,0.1,99.72382,6.1
2021-04-01,0.006713309948762847,217.9,3.142845503333147,0.11,99.96289,6.1
2021-05-01,0.006672292545710334,224.9,3.142845503333147,0.1,99.90543,5.8
2021-06-01,0.008591526206762845,228.9,3.142845503333147,0.09,99.70004,5.9
2021-07-01,0.004635957297477011,231.85,2.3669531861223447,0.1,99.24198,5.4
2021-08-01,0.0028937547110843287,233.415,2.3669531861223447,0.1,98.68501,5.1
2021-09-01,0.004362937760309826,235.678,2.3669531861223447,0.1,98.3926,4.7
2021-10-01,0.009439954442911347,240.465,3.5743136932038677,0.11,98.20995,4.5
2021-11-01,0.00830295666261649,243.287,3.5743136932038677,0.14,98.05109,4.2
2021-12-01,0.0071084268212204815,241.338,3.5743136932038677,0.17,97.95181,3.9
2022-01-01,0.006182204083958309,246.453,1.7695940894952855,0.22,97.72173,4.0
2022-02-01,0.007018425579205845,252.66,1.7695940894952855,0.38,97.42072,3.8
2022-03-01,0.010340040418240992,260.014,1.7695940894952855,0.73,97.18818,3.7
2022-04-01,0.003878706077567129,265.31,2.3410212396815844,0.91,97.02539,3.7
2022-05-01,0.009415001628653163,273.251,2.3410212396815844,1.33,96.62722,3.6
2022-06-01,0.012952327333770608,280.251,2.3410212396815844,1.87,96.22865,3.6
2022-07-01,-0.00044734844376970173,272.274,1.806648747949624,2.5,96.20132,3.5
2022-08-01,0.0007526954634839989,269.546,1.806648747949624,2.76,96.46188,3.6
2022-09-01,0.004265454225137466,267.898,1.806648747949624,3.21,96.67612,3.5
2022-10-01,0.0052560378650634565,265.061,1.7595379356380336,3.85,96.78831,3.6
2022-11-01,0.00244648112786483,263.157,1.7595379356380336,4.46,96.854,3.6
2022-12-01,0.00033477509808887973,257.897,1.7595379356380336,4.51,97.06937,3.5
2023-01-01,0.005515247249069821,260.227,1.6087287492382973,4.61,97.35186,3.5
2023-02-01,0.0033948398434380245,258.669,1.6087287492382973,4.74,97.46672,3.6
2023-03-01,0.0005539412755906081,257.062,1.6087287492382973,4.91,97.35742,3.5
2023-04-01,0.004027940313549472,256.908,1.0655727234351486,5.03,97.26667,3.4
2023-05-01,0.0015122598709624846,253.67,1.0655727234351486,5.15,97.268,3.6
2023-06-01,0.0025814661936727212,253.86,1.0655727234351486,5.22,97.55695,3.6
2023-07-01,0.0016968158395787025,253.835,1.8718054303199727,5.35,97.89566,3.5
2023-08-01,0.0049997537875678955,257.68,1.8718054303199727,5.44,97.937,3.7
2023-09-01,0.004037394900339164,258.934,1.8718054303199727,5.49,97.7463,3.8
2023-10-01,0.0009076890042749586,255.192,1.1773225374974494,5.46,97.51254,3.9
